,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1549,HNNA,"Hennessy Advisors, Inc.",7.78,$56.49M,,Finance,Investment Managers,https://old.nasdaq.com/symbol/hnna
1550,HCAC,Hennessy Capital Acquisition Corp. IV,10.29,$386.07M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcac
1551,HCACU,Hennessy Capital Acquisition Corp. IV,10.7,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcacu
1552,HCACW,Hennessy Capital Acquisition Corp. IV,0.54,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcacw
1553,HSIC,"Henry Schein, Inc.",65.83,$9.4B,1995.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hsic
1554,HEPA,"Hepion Pharmaceuticals, Inc.",2.13,$19.22M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hepa
1555,HTBK,Heritage Commerce Corp,9.26,$553.17M,,Finance,Major Banks,https://old.nasdaq.com/symbol/htbk
1556,HFWA,Heritage Financial Corporation,21.12,$757.96M,,Finance,Banks,https://old.nasdaq.com/symbol/hfwa
1557,HCCI,"Heritage-Crystal Clean, Inc.",18.85,$438.41M,2008.0,Basic Industries,Miscellaneous,https://old.nasdaq.com/symbol/hcci
1558,MLHR,"Herman Miller, Inc.",28.19,$1.66B,,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/mlhr
1559,HRTX,"Heron Therapeutics, Inc.  ",19.29,$1.75B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hrtx
1560,HSKA,Heska Corporation,91.03,$854.95M,1997.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/hska
1561,HX,Hexindai Inc.,1.01,$49.17M,2017.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hx
1562,HFFG,HF Foods Group Inc.,7.5,$391.09M,2017.0,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/hffg
1563,HIBB,"Hibbett Sports, Inc.",20.36,$336.27M,1996.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/hibb
1564,SNLN,Highland/iBoxx Senior Loan ETF,16.125,$96.75M,,,,https://old.nasdaq.com/symbol/snln
1565,HIHO,Highway Holdings Limited,1.955,$7.43M,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hiho
1566,HIMX,"Himax Technologies, Inc.",3.32,$571.65M,2006.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/himx
1567,HIFS,Hingham Institution for Savings,178.05,$380.48M,,,,https://old.nasdaq.com/symbol/hifs
1568,HQI,"HireQuest, Inc.",6.6,$89.4M,,Technology,Professional Services,https://old.nasdaq.com/symbol/hqi
1569,HSTO,Histogen Inc.,4.5,$149.27M,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hsto
1570,HCCH,HL Acquisitions Corp.,10.55,$69.22M,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcch
1571,HCCHR,HL Acquisitions Corp.,0.1461,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcchr
1572,HCCHU,HL Acquisitions Corp.,10.808,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcchu
1573,HCCHW,HL Acquisitions Corp.,0.1945,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcchw
1574,HMNF,"HMN Financial, Inc.",14.72,$71.16M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/hmnf
1575,HMSY,HMS Holdings Corp,32.6,$2.88B,1992.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/hmsy
1576,HOLI,"Hollysys Automation Technologies, Ltd.",13.91,$842.07M,,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/holi
1577,HOLX,"Hologic, Inc.",52.41,$13.53B,1990.0,Health Care,Medical Electronics,https://old.nasdaq.com/symbol/holx
1578,HBCP,"Home Bancorp, Inc.",27.24,$245.38M,,Finance,Banks,https://old.nasdaq.com/symbol/hbcp
1579,HOMB,"Home BancShares, Inc.",17.21,$2.84B,2006.0,Finance,Major Banks,https://old.nasdaq.com/symbol/homb
1580,HFBL,"Home Federal Bancorp, Inc. of Louisiana",25.0764,$43.47M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/hfbl
1581,HMST,"HomeStreet, Inc.",26.4,$617.65M,2012.0,Finance,Major Banks,https://old.nasdaq.com/symbol/hmst
1582,HTBI,"HomeTrust Bancshares, Inc.",17.85,$303.81M,2012.0,Finance,Savings Institutions,https://old.nasdaq.com/symbol/htbi
1583,FIXX,"Homology Medicines, Inc.",15.75,$712.11M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/fixx
1584,HOFT,Hooker Furniture Corporation,19.71,$234.01M,,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/hoft
1585,HOOK,HOOKIPA Pharma Inc.,11.56,$296.45M,1995.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hook
1586,HOPE,"Hope Bancorp, Inc.",10.405,$1.28B,,Finance,Major Banks,https://old.nasdaq.com/symbol/hope
1587,HBNC,"Horizon Bancorp, Inc.",12.01,$525.71M,,Finance,Major Banks,https://old.nasdaq.com/symbol/hbnc
1588,HRZN,Horizon Technology Finance Corporation,11.72,$197.55M,2010.0,,,https://old.nasdaq.com/symbol/hrzn
1589,HZNP,Horizon Therapeutics Public Limited Company,48.12,$9.18B,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hznp
1590,TWNK,"Hostess Brands, Inc.",12.47,$1.63B,2015.0,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/twnk
1591,TWNKW,"Hostess Brands, Inc.",0.91,,2015.0,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/twnkw
1592,HOTH,"Hoth Therapeutics, Inc.",2.8,$37.58M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hoth
1593,HMHC,Houghton Mifflin Harcourt Company,2.75,$344.87M,2013.0,Consumer Services,Books,https://old.nasdaq.com/symbol/hmhc
1594,HWCC,Houston Wire & Cable Company,2.84,$47.1M,2006.0,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/hwcc
1595,HOVNP,Hovnanian Enterprises Inc,4.96,$24.8M,,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/hovnp
1596,HBMD,"Howard Bancorp, Inc.",12.1,$226.46M,,Finance,Major Banks,https://old.nasdaq.com/symbol/hbmd
1597,HTGM,"HTG Molecular Diagnostics, Inc.",0.7,$43.55M,2015.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/htgm
1598,HTHT,Huazhu Group Limited,38.33,$11.38B,2010.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/htht
1599,HUBG,"Hub Group, Inc.",49.28,$1.68B,1996.0,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/hubg
1600,HUSN,Hudson Capital Inc.,0.5251,$11.61M,2017.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/husn
1601,HSON,"Hudson Global, Inc.",8.85,$23.74M,,Technology,Professional Services,https://old.nasdaq.com/symbol/hson
1602,HDSN,"Hudson Technologies, Inc.",0.88,$37.51M,,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/hdsn
1603,HUIZ,Huize Holding Limited,7.6,$395.13M,2020.0,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/huiz
1604,HBAN,Huntington Bancshares Incorporated,10.99,$11.15B,,Finance,Major Banks,https://old.nasdaq.com/symbol/hban
1605,HBANN,Huntington Bancshares Incorporated,26.38,$2.64M,,Finance,Major Banks,https://old.nasdaq.com/symbol/hbann
1606,HBANO,Huntington Bancshares Incorporated,26.18,$20.86B,,Finance,Major Banks,https://old.nasdaq.com/symbol/hbano
1607,HURC,"Hurco Companies, Inc.",34.49,$234.64M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/hurc
1608,HURN,Huron Consulting Group Inc.,48.15,$1.1B,2004.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/hurn
1609,HCM,Hutchison China MediTech Limited,22.99,$3.18B,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hcm
